run	imp	exit_code	theta	shape	scale	e	lnL	sim_theta	sim_shape	sim_scale	sim_e	model	rep
48	1	3	NA	NA	NA	NA	78913.9659287397	0.005	0.3	50	0.05	reduced	rep71
42	1	3	0.00496034853421314	0.275018789596859	62.8441986473769	0.0523631515057352	77230.8219186234	0.005	0.3	50	0.05	full	rep72
38	1	3	NA	NA	NA	NA	77180.1551250691	0.005	0.3	50	0.05	reduced	rep72
24	1	3	0.00490171712915426	0.316141736145403	39.9882295867664	0.0471034064498169	79049.9057922231	0.005	0.3	50	0.05	full	rep73
24	1	3	NA	NA	NA	NA	79000.5758457843	0.005	0.3	50	0.05	reduced	rep73
8	1	3	0.00492554349058478	0.307428932241766	45.0710328977793	0.0508756265217595	78292.2009506669	0.005	0.3	50	0.05	full	rep74
2	1	3	NA	NA	NA	NA	78240.9717300018	0.005	0.3	50	0.05	reduced	rep74
25	1	3	0.0051500228251674	0.306010134842089	56.4146172495366	0.0548720048416263	78530.7617397185	0.005	0.3	50	0.05	full	rep75
25	1	3	NA	NA	NA	NA	78468.9139803607	0.005	0.3	50	0.05	reduced	rep75
37	1	3	0.00489239807443945	0.336624851249777	34.6030989040517	0.0558986771107433	79078.1952404928	0.005	0.3	50	0.05	full	rep76
25	1	3	NA	NA	NA	NA	79033.4605958227	0.005	0.3	50	0.05	reduced	rep76
19	1	3	0.00581522594928816	0.196488563244023	331.552463797488	0.0554043924261038	78700.3731851193	0.005	0.3	50	0.05	full	rep77
20	1	3	NA	NA	NA	NA	78659.6689282185	0.005	0.3	50	0.05	reduced	rep77
29	1	3	0.0048323145290049	0.28243830803096	48.6538628539046	0.0451773300627147	78261.1542169398	0.005	0.3	50	0.05	full	rep78
40	1	3	NA	NA	NA	NA	78215.932987799	0.005	0.3	50	0.05	reduced	rep78
44	1	3	0.0051359959056079	0.292152290023511	61.8175486646425	0.0501511792656991	78547.1051983112	0.005	0.3	50	0.05	full	rep79
32	1	3	NA	NA	NA	NA	78481.2723818669	0.005	0.3	50	0.05	reduced	rep79
22	1	3	0.00521457359638483	0.279062428553863	74.3434410987392	0.0520699095006187	78485.2950251691	0.005	0.3	50	0.05	full	rep80
7	1	3	NA	NA	NA	NA	78421.814604404	0.005	0.3	50	0.05	reduced	rep80
37	1	3	0.00463996185710093	0.366098793764211	22.7057196216722	0.0507980151266327	78925.5289474783	0.005	0.3	50	0.05	full	rep81
46	1	3	NA	NA	NA	NA	78892.8496291388	0.005	0.3	50	0.05	reduced	rep81
20	1	3	0.00507646303523755	0.297508154994166	55.0212978584792	0.0492620700829566	78838.7440168751	0.005	0.3	50	0.05	full	rep82
29	1	3	NA	NA	NA	NA	78781.8457866226	0.005	0.3	50	0.05	reduced	rep82
41	1	3	0.00512370882056988	0.275391001372167	65.3536972185074	0.0464649393259615	79691.7851313195	0.005	0.3	50	0.05	full	rep83
9	1	3	NA	NA	NA	NA	79638.6424391395	0.005	0.3	50	0.05	reduced	rep83
20	1	3	0.00501707429914857	0.304395250886356	50.3447126101192	0.04916415358436	78459.9933351563	0.005	0.3	50	0.05	full	rep84
12	1	3	NA	NA	NA	NA	78406.470762528	0.005	0.3	50	0.05	reduced	rep84
38	1	3	0.00501139775854738	0.289707608958137	56.9896848021462	0.0480646319858032	78032.9963754172	0.005	0.3	50	0.05	full	rep85
44	1	3	NA	NA	NA	NA	77973.908393948	0.005	0.3	50	0.05	reduced	rep85
