run	imp	exit_code	theta	shape	scale	e	lnL	sim_theta	sim_shape	sim_scale	sim_e	model	rep
24	1	3	0.00485064267215977	0.362483770043183	29.5369390243107	0.0538691595090177	176820.989076983	0.005	0.3	50	0.05	full	rep63
36	1	3	NA	NA	NA	NA	176724.742252651	0.005	0.3	50	0.05	reduced	rep63
37	1	3	0.00494420526354081	0.307659405171345	44.780024005077	0.0482550501467575	177012.144519926	0.005	0.3	50	0.05	full	rep64
2	1	3	NA	NA	NA	NA	176911.400294799	0.005	0.3	50	0.05	reduced	rep64
38	1	3	0.00493548217532833	0.306340842533823	46.679761069603	0.048928807229731	175379.590201432	0.005	0.3	50	0.05	full	rep65
16	1	3	NA	NA	NA	NA	175280.374879834	0.005	0.3	50	0.05	reduced	rep65
1	1	3	0.00503460064454105	0.31546137320535	45.0276981384607	0.0534706204794134	178283.646496215	0.005	0.3	50	0.05	full	rep66
26	1	3	NA	NA	NA	NA	178184.62442256	0.005	0.3	50	0.05	reduced	rep66
11	1	3	0.00502562558103804	0.309462044050724	48.5240891054555	0.0523156877767609	176565.890508376	0.005	0.3	50	0.05	full	rep67
49	1	3	NA	NA	NA	NA	176444.531297761	0.005	0.3	50	0.05	reduced	rep67
39	1	3	0.00501710940840593	0.303687640670254	51.120786250471	0.0523579817411357	175714.969879067	0.005	0.3	50	0.05	full	rep68
13	1	3	NA	NA	NA	NA	175602.063004972	0.005	0.3	50	0.05	reduced	rep68
34	1	3	0.00498149735202635	0.313305211370361	43.6469777578884	0.0499356148064469	178044.780158221	0.005	0.3	50	0.05	full	rep69
26	1	3	NA	NA	NA	NA	177939.130393836	0.005	0.3	50	0.05	reduced	rep69
32	1	3	0.00519428675712411	0.304122508218669	57.9205905076038	0.0510506723490348	177856.040818794	0.005	0.3	50	0.05	full	rep70
8	1	3	NA	NA	NA	NA	177733.406679723	0.005	0.3	50	0.05	reduced	rep70
17	1	3	0.00491440715131298	0.307163974777425	42.6682063608545	0.0498274708978235	177663.991578656	0.005	0.3	50	0.05	full	rep71
24	1	3	NA	NA	NA	NA	177569.008043732	0.005	0.3	50	0.05	reduced	rep71
24	1	3	0.00512418919447818	0.30167278615998	52.0727749459496	0.0486499741025548	180063.570915671	0.005	0.3	50	0.05	full	rep72
35	1	3	NA	NA	NA	NA	179955.311029046	0.005	0.3	50	0.05	reduced	rep72
41	1	3	0.00510305037157756	0.291799600628679	60.7580765611282	0.0483519089797405	175995.702260759	0.005	0.3	50	0.05	full	rep73
13	1	3	NA	NA	NA	NA	175872.847767013	0.005	0.3	50	0.05	reduced	rep73
31	1	3	0.00499078966360709	0.28655730979144	58.1252215213078	0.05074981404696	174517.052586292	0.005	0.3	50	0.05	full	rep74
18	1	3	NA	NA	NA	NA	174400.667876054	0.005	0.3	50	0.05	reduced	rep74
28	1	3	0.00497043129333764	0.283311015315758	56.2082490207552	0.0487330781717176	175948.549031501	0.005	0.3	50	0.05	full	rep75
31	1	3	NA	NA	NA	NA	175843.597417826	0.005	0.3	50	0.05	reduced	rep75
13	1	3	0.00512410480948135	0.2764206424926	65.4084103476676	0.0511194646140691	178422.813744335	0.005	0.3	50	0.05	full	rep76
18	1	3	NA	NA	NA	NA	178305.95092621	0.005	0.3	50	0.05	reduced	rep76
48	1	3	0.00502704708067148	0.328908967585588	40.682116558643	0.0500968112341012	178881.003347451	0.005	0.3	50	0.05	full	rep77
20	1	3	NA	NA	NA	NA	178775.122189681	0.005	0.3	50	0.05	reduced	rep77
5	1	3	0.00492993547930171	0.317582706495521	40.3873597765895	0.0491267606041661	177920.409511195	0.005	0.3	50	0.05	full	rep78
25	1	3	NA	NA	NA	NA	177831.705328557	0.005	0.3	50	0.05	reduced	rep78
14	1	3	0.00502925391708726	0.306916975773093	50.0650487867609	0.0498124289495741	176296.893953906	0.005	0.3	50	0.05	full	rep79
4	1	3	NA	NA	NA	NA	176188.183280532	0.005	0.3	50	0.05	reduced	rep79
3	1	3	0.00499155994177042	0.29606724410888	54.0537296442353	0.0505869656921383	174669.476461345	0.005	0.3	50	0.05	full	rep80
34	1	3	NA	NA	NA	NA	174555.339130131	0.005	0.3	50	0.05	reduced	rep80
27	1	3	0.00491900842735222	0.307840703273714	42.3068681961274	0.0534763594020403	177822.367155035	0.005	0.3	50	0.05	full	rep81
23	1	3	NA	NA	NA	NA	177732.627666393	0.005	0.3	50	0.05	reduced	rep81
40	1	3	0.00502495861088769	0.308221441854153	48.926878505645	0.0479395601818339	176771.243152496	0.005	0.3	50	0.05	full	rep82
7	1	3	NA	NA	NA	NA	176659.846299266	0.005	0.3	50	0.05	reduced	rep82
28	1	3	0.00588822163939254	0.223378821543248	251.344220486523	0.0520596028414397	176526.189897537	0.005	0.3	50	0.05	full	rep83
6	1	3	NA	NA	NA	NA	176413.488926933	0.005	0.3	50	0.05	reduced	rep83
36	1	3	0.00483189242345663	0.289816235171092	48.2697609686746	0.0491262506360327	174015.582837777	0.005	0.3	50	0.05	full	rep84
34	1	3	NA	NA	NA	NA	173915.737151562	0.005	0.3	50	0.05	reduced	rep84
28	1	3	0.00524467756449545	0.277368036774657	76.6157032111523	0.0495974035905682	177032.059449862	0.005	0.3	50	0.05	full	rep85
31	1	3	NA	NA	NA	NA	176897.479866175	0.005	0.3	50	0.05	reduced	rep85
38	1	3	0.00510595665158957	0.290304657526568	56.8926152030028	0.0505825942244186	178955.478579967	0.005	0.3	50	0.05	full	rep86
50	1	3	NA	NA	NA	NA	178841.488793264	0.005	0.3	50	0.05	reduced	rep86
32	1	3	0.00512645489940561	0.290349959627438	59.8982446360348	0.0512711150201212	177748.354822398	0.005	0.3	50	0.05	full	rep87
34	1	3	NA	NA	NA	NA	177631.168406518	0.005	0.3	50	0.05	reduced	rep87
20	1	3	0.00487463396994897	0.291386415640773	47.3242204317716	0.050631084344272	176049.924493411	0.005	0.3	50	0.05	full	rep88
35	1	3	NA	NA	NA	NA	175958.503049456	0.005	0.3	50	0.05	reduced	rep88
15	1	3	0.00499395170833279	0.322869827101001	41.2251204946423	0.0480117188490174	178571.023428515	0.005	0.3	50	0.05	full	rep89
22	1	3	NA	NA	NA	NA	178454.552017596	0.005	0.3	50	0.05	reduced	rep89
22	1	3	0.00502371119920237	0.296953540891418	52.8818805602283	0.0470117590137039	176744.559902354	0.005	0.3	50	0.05	full	rep90
40	1	3	NA	NA	NA	NA	176642.487267521	0.005	0.3	50	0.05	reduced	rep90
23	1	3	0.00494164061341316	0.29772737694272	45.830606092471	0.0497458235742344	178460.234886082	0.005	0.3	50	0.05	full	rep91
20	1	3	NA	NA	NA	NA	178368.163876323	0.005	0.3	50	0.05	reduced	rep91
43	1	3	0.00488167960436351	0.32202961448296	38.1463047281919	0.0550807852612784	176741.790861474	0.005	0.3	50	0.05	full	rep92
1	1	3	NA	NA	NA	NA	176658.534264885	0.005	0.3	50	0.05	reduced	rep92
26	1	3	0.00496989224206577	0.304817638087744	47.3595485589838	0.0510519392858722	176492.200732588	0.005	0.3	50	0.05	full	rep93
39	1	3	NA	NA	NA	NA	176387.77885913	0.005	0.3	50	0.05	reduced	rep93
36	1	3	0.00504510100942793	0.303656740343671	51.6639716532284	0.0502672644121696	176538.635380056	0.005	0.3	50	0.05	full	rep94
12	1	3	NA	NA	NA	NA	176431.450688156	0.005	0.3	50	0.05	reduced	rep94
30	1	3	0.0051831545687409	0.293152351541158	62.5780590618254	0.0511383751677413	177496.919687697	0.005	0.3	50	0.05	full	rep95
22	1	3	NA	NA	NA	NA	177372.993239005	0.005	0.3	50	0.05	reduced	rep95
